example_id                                                           | status | run_time        |
-------------------------------------------------------------------- | ------ | --------------- |
./spec/cli/command_parser_spec.rb[1:1:1]                             | passed | 0.06232 seconds |
./spec/cli/command_parser_spec.rb[1:1:2]                             | passed | 0.00023 seconds |
./spec/cli/command_parser_spec.rb[1:1:3]                             | passed | 0.00036 seconds |
./spec/cli/command_parser_spec.rb[1:1:4]                             | passed | 0.00035 seconds |
./spec/cli/command_parser_spec.rb[1:1:5]                             | passed | 0.00016 seconds |
./spec/cli/command_spec.rb[1:1:1]                                    | passed | 0.00787 seconds |
./spec/cli/command_spec.rb[1:1:2]                                    | passed | 0.001 seconds   |
./spec/cli/command_spec.rb[1:1:3]                                    | passed | 0.00633 seconds |
./spec/cli/config_spec.rb[1:1:1]                                     | passed | 0.00313 seconds |
./spec/cli/config_spec.rb[1:2:1]                                     | passed | 0.01036 seconds |
./spec/cli/config_spec.rb[1:3:1]                                     | passed | 0.00097 seconds |
./spec/cli/config_spec.rb[1:3:2]                                     | passed | 0.00079 seconds |
./spec/cli/config_spec.rb[1:3:3]                                     | passed | 0.00147 seconds |
./spec/cli/config_spec.rb[1:3:4]                                     | passed | 0.00087 seconds |
./spec/cli/config_spec.rb[1:3:5]                                     | passed | 0.00145 seconds |
./spec/cli/config_spec.rb[1:3:6]                                     | passed | 0.00136 seconds |
./spec/cli/config_spec.rb[1:3:7]                                     | passed | 0.00102 seconds |
./spec/cli/config_spec.rb[1:3:8]                                     | passed | 0.00103 seconds |
./spec/cli/config_spec.rb[1:3:9]                                     | passed | 0.00093 seconds |
./spec/cli/config_spec.rb[1:3:10]                                    | passed | 0.0009 seconds  |
./spec/cli/config_spec.rb[1:4:1]                                     | passed | 0.00115 seconds |
./spec/cli/config_spec.rb[1:4:2]                                     | passed | 0.00143 seconds |
./spec/cli/config_spec.rb[1:4:3]                                     | passed | 0.00094 seconds |
./spec/cli/config_spec.rb[1:4:4]                                     | passed | 0.00113 seconds |
./spec/cli/config_spec.rb[1:4:5]                                     | passed | 0.00104 seconds |
./spec/cli/config_spec.rb[1:4:6]                                     | passed | 0.0011 seconds  |
./spec/cli/config_spec.rb[1:4:7]                                     | passed | 0.00103 seconds |
./spec/cli/config_spec.rb[1:4:8]                                     | passed | 0.0011 seconds  |
./spec/cli/config_spec.rb[1:4:9]                                     | passed | 0.00104 seconds |
./spec/cli/config_spec.rb[1:4:10]                                    | passed | 0.00104 seconds |
./spec/cli/diff_spec.rb[1:1:1]                                       | passed | 0.00126 seconds |
./spec/cli/diff_spec.rb[1:2:1]                                       | passed | 0.02754 seconds |
./spec/cli/diff_spec.rb[1:2:2]                                       | passed | 0.00634 seconds |
./spec/cli/diff_spec.rb[1:2:3]                                       | passed | 0.01257 seconds |
./spec/cli/diff_spec.rb[1:2:4]                                       | passed | 0.00788 seconds |
./spec/cli/diff_spec.rb[1:2:5]                                       | passed | 0.00663 seconds |
./spec/cli/diff_spec.rb[1:2:6]                                       | passed | 0.00769 seconds |
./spec/cli/diff_spec.rb[1:3:1]                                       | passed | 0.19939 seconds |
./spec/cli/diff_spec.rb[1:3:2]                                       | passed | 0.00144 seconds |
./spec/cli/diff_spec.rb[1:3:3]                                       | passed | 0.0026 seconds  |
./spec/cli/diff_spec.rb[1:3:4]                                       | passed | 0.00169 seconds |
./spec/cli/diff_spec.rb[1:3:5]                                       | passed | 0.00179 seconds |
./spec/cli/diff_spec.rb[1:3:6]                                       | passed | 0.00107 seconds |
./spec/cli/display_spec.rb[1:1]                                      | passed | 0.01794 seconds |
./spec/cli/display_spec.rb[1:2]                                      | passed | 0.21402 seconds |
./spec/cli/display_spec.rb[1:3]                                      | passed | 0.03718 seconds |
./spec/cli/gems_spec.rb[1:1:1]                                       | passed | 0.00192 seconds |
./spec/cli/gems_spec.rb[1:1:2]                                       | passed | 0.00154 seconds |
./spec/cli/gems_spec.rb[1:1:3]                                       | passed | 0.00146 seconds |
./spec/cli/gems_spec.rb[1:1:4]                                       | passed | 0.00112 seconds |
./spec/cli/gems_spec.rb[1:1:5]                                       | passed | 0.00131 seconds |
./spec/cli/gems_spec.rb[1:1:6]                                       | passed | 0.00091 seconds |
./spec/cli/gems_spec.rb[1:1:7]                                       | passed | 0.00112 seconds |
./spec/cli/graph_spec.rb[1:1]                                        | passed | 0.01025 seconds |
./spec/cli/graph_spec.rb[1:2]                                        | passed | 0.00485 seconds |
./spec/cli/help_spec.rb[1:1:1]                                       | passed | 0.00027 seconds |
./spec/cli/help_spec.rb[1:1:2]                                       | passed | 0.00026 seconds |
./spec/cli/help_spec.rb[1:1:3]                                       | passed | 0.0003 seconds  |
./spec/cli/i18n_spec.rb[1:1:1]                                       | passed | 0.0342 seconds  |
./spec/cli/i18n_spec.rb[1:1:2]                                       | passed | 0.02255 seconds |
./spec/cli/i18n_spec.rb[1:2:1]                                       | passed | 0.01878 seconds |
./spec/cli/i18n_spec.rb[1:2:2]                                       | passed | 0.01099 seconds |
./spec/cli/i18n_spec.rb[1:2:3]                                       | passed | 0.01191 seconds |
./spec/cli/i18n_spec.rb[1:2:4]                                       | passed | 0.00916 seconds |
./spec/cli/i18n_spec.rb[1:3:1]                                       | passed | 0.01497 seconds |
./spec/cli/i18n_spec.rb[1:4:1]                                       | passed | 0.00055 seconds |
./spec/cli/i18n_spec.rb[1:4:2]                                       | passed | 0.00045 seconds |
./spec/cli/i18n_spec.rb[1:4:3]                                       | passed | 0.00052 seconds |
./spec/cli/list_spec.rb[1:1]                                         | passed | 0.00021 seconds |
./spec/cli/markup_types_spec.rb[1:1]                                 | passed | 0.00724 seconds |
./spec/cli/server_spec.rb[1:1:1]                                     | passed | 0.00344 seconds |
./spec/cli/server_spec.rb[1:1:2]                                     | passed | 0.00213 seconds |
./spec/cli/server_spec.rb[1:1:3]                                     | passed | 0.00189 seconds |
./spec/cli/server_spec.rb[1:2:1]                                     | passed | 0.00173 seconds |
./spec/cli/server_spec.rb[1:2:2]                                     | passed | 0.0017 seconds  |
./spec/cli/server_spec.rb[1:2:3]                                     | passed | 0.00207 seconds |
./spec/cli/server_spec.rb[1:2:4]                                     | passed | 0.00151 seconds |
./spec/cli/server_spec.rb[1:3:1]                                     | passed | 0.00312 seconds |
./spec/cli/server_spec.rb[1:3:2]                                     | passed | 0.00331 seconds |
./spec/cli/server_spec.rb[1:3:3]                                     | passed | 0.00275 seconds |
./spec/cli/server_spec.rb[1:3:4]                                     | passed | 0.00299 seconds |
./spec/cli/server_spec.rb[1:3:5]                                     | passed | 0.00326 seconds |
./spec/cli/server_spec.rb[1:3:6]                                     | passed | 0.00297 seconds |
./spec/cli/server_spec.rb[1:3:7]                                     | passed | 0.04333 seconds |
./spec/cli/server_spec.rb[1:3:8]                                     | passed | 0.00274 seconds |
./spec/cli/server_spec.rb[1:3:9]                                     | passed | 0.00152 seconds |
./spec/cli/server_spec.rb[1:3:10]                                    | passed | 0.00155 seconds |
./spec/cli/server_spec.rb[1:3:11]                                    | passed | 0.00175 seconds |
./spec/cli/server_spec.rb[1:3:12]                                    | passed | 0.00052 seconds |
./spec/cli/server_spec.rb[1:3:13]                                    | passed | 0.00049 seconds |
./spec/cli/server_spec.rb[1:3:14]                                    | passed | 0.00328 seconds |
./spec/cli/server_spec.rb[1:3:15]                                    | passed | 0.00307 seconds |
./spec/cli/server_spec.rb[1:3:16]                                    | passed | 0.00464 seconds |
./spec/cli/server_spec.rb[1:3:17]                                    | passed | 0.00184 seconds |
./spec/cli/server_spec.rb[1:3:18]                                    | passed | 0.0017 seconds  |
./spec/cli/server_spec.rb[1:3:19]                                    | passed | 0.00167 seconds |
./spec/cli/server_spec.rb[1:3:20]                                    | passed | 0.00734 seconds |
./spec/cli/stats_spec.rb[1:1]                                        | passed | 0.01906 seconds |
./spec/cli/stats_spec.rb[1:2]                                        | passed | 0.01886 seconds |
./spec/cli/stats_spec.rb[1:3]                                        | passed | 0.01791 seconds |
./spec/cli/stats_spec.rb[1:4]                                        | passed | 0.01908 seconds |
./spec/cli/stats_spec.rb[1:5]                                        | passed | 0.01775 seconds |
./spec/cli/yardoc_spec.rb[1:1:1]                                     | passed | 0.01509 seconds |
./spec/cli/yardoc_spec.rb[1:1:2]                                     | passed | 0.01453 seconds |
./spec/cli/yardoc_spec.rb[1:1:3]                                     | passed | 0.02083 seconds |
./spec/cli/yardoc_spec.rb[1:1:4]                                     | passed | 0.01637 seconds |
./spec/cli/yardoc_spec.rb[1:1:5]                                     | passed | 0.01941 seconds |
./spec/cli/yardoc_spec.rb[1:1:6]                                     | passed | 0.01409 seconds |
./spec/cli/yardoc_spec.rb[1:1:7]                                     | passed | 0.01469 seconds |
./spec/cli/yardoc_spec.rb[1:1:8]                                     | passed | 0.01344 seconds |
./spec/cli/yardoc_spec.rb[1:1:9]                                     | passed | 0.01348 seconds |
./spec/cli/yardoc_spec.rb[1:1:10]                                    | passed | 0.01415 seconds |
./spec/cli/yardoc_spec.rb[1:1:11]                                    | passed | 0.01445 seconds |
./spec/cli/yardoc_spec.rb[1:1:12]                                    | passed | 0.0128 seconds  |
./spec/cli/yardoc_spec.rb[1:1:13]                                    | passed | 0.01275 seconds |
./spec/cli/yardoc_spec.rb[1:1:14]                                    | passed | 0.0197 seconds  |
./spec/cli/yardoc_spec.rb[1:1:15]                                    | passed | 0.01301 seconds |
./spec/cli/yardoc_spec.rb[1:2:1]                                     | passed | 0.00562 seconds |
./spec/cli/yardoc_spec.rb[1:2:2]                                     | passed | 0.00579 seconds |
./spec/cli/yardoc_spec.rb[1:2:3]                                     | passed | 0.00639 seconds |
./spec/cli/yardoc_spec.rb[1:2:4]                                     | passed | 0.00571 seconds |
./spec/cli/yardoc_spec.rb[1:2:5]                                     | passed | 0.00587 seconds |
./spec/cli/yardoc_spec.rb[1:2:6]                                     | passed | 0.01911 seconds |
./spec/cli/yardoc_spec.rb[1:2:7]                                     | passed | 0.01155 seconds |
./spec/cli/yardoc_spec.rb[1:2:8]                                     | passed | 0.0131 seconds  |
./spec/cli/yardoc_spec.rb[1:2:9]                                     | passed | 0.01062 seconds |
./spec/cli/yardoc_spec.rb[1:2:10]                                    | passed | 0.00763 seconds |
./spec/cli/yardoc_spec.rb[1:2:11]                                    | passed | 0.00594 seconds |
./spec/cli/yardoc_spec.rb[1:2:12]                                    | passed | 0.00606 seconds |
./spec/cli/yardoc_spec.rb[1:2:13]                                    | passed | 0.00638 seconds |
./spec/cli/yardoc_spec.rb[1:2:14]                                    | passed | 0.00655 seconds |
./spec/cli/yardoc_spec.rb[1:2:15]                                    | passed | 0.00868 seconds |
./spec/cli/yardoc_spec.rb[1:2:16]                                    | passed | 0.00612 seconds |
./spec/cli/yardoc_spec.rb[1:2:17]                                    | passed | 0.01538 seconds |
./spec/cli/yardoc_spec.rb[1:3:1]                                     | passed | 0.00842 seconds |
./spec/cli/yardoc_spec.rb[1:3:2]                                     | passed | 0.01355 seconds |
./spec/cli/yardoc_spec.rb[1:3:3]                                     | passed | 0.00851 seconds |
./spec/cli/yardoc_spec.rb[1:3:4]                                     | passed | 0.01252 seconds |
./spec/cli/yardoc_spec.rb[1:3:5]                                     | passed | 0.00797 seconds |
./spec/cli/yardoc_spec.rb[1:3:6]                                     | passed | 0.00724 seconds |
./spec/cli/yardoc_spec.rb[1:3:7]                                     | passed | 0.00742 seconds |
./spec/cli/yardoc_spec.rb[1:3:8]                                     | passed | 0.00743 seconds |
./spec/cli/yardoc_spec.rb[1:3:9]                                     | passed | 0.00738 seconds |
./spec/cli/yardoc_spec.rb[1:3:10]                                    | passed | 0.01087 seconds |
./spec/cli/yardoc_spec.rb[1:3:11]                                    | passed | 0.00875 seconds |
./spec/cli/yardoc_spec.rb[1:3:12]                                    | passed | 0.00692 seconds |
./spec/cli/yardoc_spec.rb[1:3:13:1]                                  | passed | 0.00862 seconds |
./spec/cli/yardoc_spec.rb[1:3:13:2]                                  | passed | 0.00855 seconds |
./spec/cli/yardoc_spec.rb[1:3:13:3]                                  | passed | 0.0291 seconds  |
./spec/cli/yardoc_spec.rb[1:3:13:4]                                  | passed | 0.0103 seconds  |
./spec/cli/yardoc_spec.rb[1:3:13:5]                                  | passed | 0.01907 seconds |
./spec/cli/yardoc_spec.rb[1:3:14:1]                                  | passed | 0.00629 seconds |
./spec/cli/yardoc_spec.rb[1:3:15:1]                                  | passed | 0.00712 seconds |
./spec/cli/yardoc_spec.rb[1:4:1]                                     | passed | 0.00864 seconds |
./spec/cli/yardoc_spec.rb[1:4:2]                                     | passed | 0.00824 seconds |
./spec/cli/yardoc_spec.rb[1:4:3]                                     | passed | 0.01372 seconds |
./spec/cli/yardoc_spec.rb[1:4:4]                                     | passed | 0.00853 seconds |
./spec/cli/yardoc_spec.rb[1:4:5]                                     | passed | 0.0153 seconds  |
./spec/cli/yardoc_spec.rb[1:5:1]                                     | passed | 0.0077 seconds  |
./spec/cli/yardoc_spec.rb[1:5:2]                                     | passed | 0.00858 seconds |
./spec/cli/yardoc_spec.rb[1:6:1]                                     | passed | 0.00596 seconds |
./spec/cli/yardoc_spec.rb[1:6:2]                                     | passed | 0.0069 seconds  |
